Company Name, Policies In Force , Number of Complaints , Ratio 
ACA HOME INSURANCE CORP," 2,979 ", 0   , 0   
ACE INSURANCE COMPANY OF THE MIDWEST," 2,390 ", 0   , 0   
ADDISON INSURANCE COMPANY, 526 , 0   , 0   
AEGIS SECURITY INSURANCE COMPANY, 805 , 2 , 403 
AIG PROPERTY CASUALTY COMPANY," 13,610 ", 2 ," 6,805 "
AMERICAN AUTOMOBILE INSURANCE COMPANY," 2,881 ", 1 ," 2,881 "
AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA," 135,716 ", 9 ," 15,080 "
AMERICAN HOME ASSURANCE COMPANY, 959 , 0   , 0   
AMERICAN INTEGRITY INSURANCE COMPANY OF FLORIDA," 189,995 ", 53 ," 3,585 "
"AMERICAN MODERN INSURANCE COMPANY OF FLORIDA, INC."," 49,697 ", 0   , 0   
AMERICAN PLATINUM PROPERTY AND CASUALTY INSURANCE COMPANY, 659 , 0   , 0   
AMERICAN RELIABLE INSURANCE COMPANY," 6,888 ", 2 ," 3,444 "
AMERICAN SECURITY INSURANCE COMPANY, 14 , 18 , 1 
AMERICAN SOUTHERN HOME INSURANCE COMPANY," 8,377 ", 0   , 0   
AMERICAN STRATEGIC INSURANCE CORP," 61,642 ", 7 ," 8,806 "
AMERICAN TRADITIONS INSURANCE COMPANY," 52,407 ", 5 ," 10,481 "
AMICA MUTUAL INSURANCE COMPANY," 21,985 ", 3 ," 7,328 "
ARK ROYAL INSURANCE COMPANY," 93,885 ", 4 ," 23,471 "
ARMED FORCES INSURANCE EXCHANGE," 3,912 ", 1 ," 3,912 "
ASI ASSURANCE CORP," 81,186 ", 9 ," 9,021 "
ASI PREFERRED INSURANCE CORP," 105,312 ", 5 ," 21,062 "
ASSOCIATED INDEMNITY CORPORATION, 274 , 0   , 0   
AUTO CLUB INSURANCE COMPANY OF FLORIDA," 60,716 ", 10 ," 6,072 "
AUTO OWNERS INSURANCE COMPANY," 2,490 ", 6 , 415 
AVATAR PROPERTY AND CASUALTY INSURANCE COMPANY," 10,301 ", 6 ," 1,717 "
"CAPITOL PREFERRED INSURANCE COMPANY, INC."," 41,614 ", 8 ," 5,202 "
CASTLE KEY INDEMNITY COMPANY," 107,040 ", 7 ," 15,291 "
CASTLE KEY INSURANCE COMPANY," 93,432 ", 21 ," 4,449 "
